Time-Nanos, Time-Millis, Level, Thread ID, Thread Name, Thread Priority, Message, Logger-FQCN, Logger-Name, Marker, Thrown-Proxy, Source, Context-Map, Context-Stack
0,1638300920749,INFO,1,main,5,"Neither @ContextConfiguration nor @ContextHierarchy found for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests], using SpringBootContextLoader",org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.boot.test.autoconfigure.web.servlet.WebMvcTestContextBootstrapper,,,org.springframework.test.context.support.AbstractTestContextBootstrapper.buildDefaultMergedContextConfiguration(AbstractTestContextBootstrapper.java:305),{},[]
0,1638300920772,INFO,1,main,5,"Could not detect default resource locations for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests]: no resource found for suffixes {-context.xml, Context.groovy}.",org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.test.context.support.AbstractContextLoader,,,org.springframework.test.context.support.AbstractContextLoader.generateDefaultLocations(AbstractContextLoader.java:264),{},[]
0,1638300920774,INFO,1,main,5,"Could not detect default configuration classes for test class [org.springframework.samples.petclinic.owner.OwnerControllerTests]: OwnerControllerTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.",org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.test.context.support.AnnotationConfigContextLoaderUtils,,,org.springframework.test.context.support.AnnotationConfigContextLoaderUtils.detectDefaultConfigurationClasses(AnnotationConfigContextLoaderUtils.java:83),{},[]
0,1638300921005,INFO,1,main,5,Found @SpringBootConfiguration org.springframework.samples.petclinic.PetClinicApplication for test class org.springframework.samples.petclinic.owner.OwnerControllerTests,org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.boot.test.context.SpringBootTestContextBootstrapper,,,org.springframework.boot.test.context.SpringBootTestContextBootstrapper.getOrFindConfigurationClasses(SpringBootTestContextBootstrapper.java:238),{},[]
0,1638300921010,INFO,1,main,5,"Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]",org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.boot.test.autoconfigure.web.servlet.WebMvcTestContextBootstrapper,,,org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(AbstractTestContextBootstrapper.java:245),{},[]
0,1638300921039,INFO,1,main,5,"Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@476aac9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6cea706c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3bd7f8dc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2f2bf0e2, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1eba372c, org.springframework.test.context.support.DirtiesContextTestExecutionListener@21ec5d87, org.springframework.test.context.transaction.TransactionalTestExecutionListener@25f9407e, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@552518c3, org.springframework.test.context.event.EventPublishingTestExecutionListener@1a69561c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@59aa20b3, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@363f6148, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4b21844c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b28f282, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@138fe6ec, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5e77f0f4]",org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.boot.test.autoconfigure.web.servlet.WebMvcTestContextBootstrapper,,,org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(AbstractTestContextBootstrapper.java:174),{},[]
0,1638300922607,INFO,21,background-preinit,5,HV000001: Hibernate Validator 6.2.0.Final,org.hibernate.validator.internal.util.logging.Log_$logger,org.hibernate.validator.internal.util.Version,,,org.hibernate.validator.internal.util.Version.<clinit>(Version.java:21),{},[]
0,1638300922682,INFO,1,main,5,Starting OwnerControllerTests using Java 17 on Musso with PID 1856 (started by ineke in C:\Users\ineke\IdeaProjects\SOEN345Project),org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.samples.petclinic.owner.OwnerControllerTests,,,org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:55),{},[]
0,1638300922693,INFO,1,main,5,"No active profile set, falling back to default profiles: default",org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.samples.petclinic.owner.OwnerControllerTests,,,org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:659),{},[]
0,1638300926516,INFO,1,main,5,Initializing Spring TestDispatcherServlet '',org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.boot.test.mock.web.SpringBootMockServletContext,,,org.springframework.mock.web.MockServletContext.log(MockServletContext.java:455),{},[]
0,1638300926517,INFO,1,main,5,Initializing Servlet '',org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.test.web.servlet.TestDispatcherServlet,,,org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:525),{},[]
0,1638300926519,INFO,1,main,5,Completed initialization in 1 ms,org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.test.web.servlet.TestDispatcherServlet,,,org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547),{},[]
0,1638300926583,INFO,1,main,5,Started OwnerControllerTests in 4.421 seconds (JVM running for 8.392),org.apache.commons.logging.LogAdapter$Log4jLog,org.springframework.samples.petclinic.owner.OwnerControllerTests,,,org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61),{},[]
0,1638300927419,INFO,1,main,5,"Name: [george, [Owner@7cd8831c id = [null], new = true, lastName = [null], firstName = [null], address = [null], city = [null], telephone = [null]]]",org.apache.logging.log4j.spi.AbstractLogger,Analytics,,,org.springframework.samples.petclinic.owner.OwnerController.processFindForm(OwnerController.java:135),{},[]
0,1638300927451,INFO,1,main,5,Name: [george],org.apache.logging.log4j.spi.AbstractLogger,Analytics,,,org.springframework.samples.petclinic.owner.OwnerController.processFindForm(OwnerController.java:135),{},[]
